Vehicle ID: 0, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 79, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 28, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 80, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 29, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 81, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 30, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 82, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 31, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 83, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 32, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 84, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 33, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 85, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 34, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 86, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 35, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 87, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 36, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 88, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 37, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 89, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 38, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 90, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 39, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 91, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 40, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 92, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 41, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 93, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 42, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 94, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 43, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 95, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 44, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 96, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 45, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 97, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 46, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 98, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 47, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 99, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 48, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 100, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 49, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 101, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 50, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 102, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 51, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 103, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 52, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 104, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 53, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 105, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 54, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 106, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 55, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 107, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 56, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 108, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 57, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 109, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 58, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 59, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 110, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 60, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 111, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 61, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 112, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 62, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 113, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 63, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 114, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 115, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 64, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 116, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 65, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 66, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 117, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 118, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 67, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 68, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 119, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 120, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 69, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 121, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 70, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 71, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 122, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 72, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 123, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 73, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 124, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 74, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 125, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 75, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 126, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 76, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 127, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 77, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 128, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 78, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 129, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 79, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 130, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 80, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 131, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 81, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 132, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 82, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 133, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 83, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 134, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 84, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 135, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 85, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 136, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 86, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 137, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 87, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 138, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 88, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 139, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 89, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 140, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 90, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 141, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 91, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 142, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 92, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 143, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 93, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 144, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 94, Entry Lane: CL2, Exit Lane: AL1, Direction: S
Vehicle ID: 145, Entry Lane: DL2, Exit Lane: CL1, Direction: N
